Record_ID,Person_ID,Date,Day_of_Week,Is_Weekend,Sleep_Start_DateTime,Wake_DateTime,Sleep_Onset_Latency_Minutes,Number_of_Awakenings,Sleep_Efficiency,Sleep_Duration_Hours,Bedtime_Hour,Wake_Time_Hour,Sleep_Midpoint_Hour,Cross_Midnight_Flag,Daytime_Sleep_Flag,Sleep_Quality_Score,Sleep_Quality_Category
R000037,P0002,2026-01-11,Sunday,True,2026-01-11 00:25,2026-01-11 09:23,4,1,90.0,8.97,0.43,9.38,4.9,False,False,7,Good
R000038,P0002,2026-01-12,Monday,False,2026-01-12 23:28,2026-01-13 06:53,26,0,90.6,7.42,23.48,6.88,3.17,True,False,7,Good
R000039,P0002,2026-01-13,Tuesday,False,2026-01-13 23:24,2026-01-14 07:28,19,0,92.8,8.07,23.41,7.47,3.43,True,False,8,Good
R000040,P0002,2026-01-14,Wednesday,False,2026-01-14 22:57,2026-01-15 07:37,24,1,86.5,8.67,22.97,7.62,3.28,True,False,5,Average
R000041,P0002,2026-01-15,Thursday,False,2026-01-15 23:30,2026-01-16 06:19,16,2,95.0,6.82,23.51,6.32,2.9,True,False,6,Average
R000042,P0002,2026-01-16,Friday,False,2026-01-16 23:21,2026-01-17 06:03,15,0,93.8,6.7,23.36,6.05,2.7,True,False,6,Average
R000043,P0002,2026-01-17,Saturday,True,2026-01-17 00:39,2026-01-17 08:52,19,1,89.5,8.22,0.65,8.87,4.75,False,False,5,Average
R000044,P0002,2026-01-18,Sunday,True,2026-01-18 00:43,2026-01-18 09:11,14,1,89.9,8.47,0.73,9.18,4.95,False,False,5,Average
R000045,P0002,2026-01-19,Monday,False,2026-01-19 23:08,2026-01-20 06:36,29,2,94.7,7.47,23.14,6.6,2.87,True,False,9,Good
R000046,P0002,2026-01-20,Tuesday,False,2026-01-20 23:39,2026-01-21 07:55,26,1,93.9,8.27,23.66,7.92,3.78,True,False,7,Good
R000047,P0002,2026-01-21,Wednesday,False,2026-01-21 00:07,2026-01-21 08:01,27,2,89.5,7.9,0.13,8.02,4.07,False,False,7,Good
R000048,P0002,2026-01-22,Thursday,False,2026-01-22 22:57,2026-01-23 06:37,21,0,90.5,7.67,22.96,6.62,2.78,True,False,6,Average
R000049,P0002,2026-01-23,Friday,False,2026-01-23 23:06,2026-01-24 07:33,17,2,92.4,8.45,23.11,7.55,3.32,True,False,7,Good
R000050,P0002,2026-01-24,Saturday,True,2026-01-24 23:56,2026-01-25 07:31,16,1,93.8,7.58,23.94,7.52,3.72,True,False,7,Good
R000051,P0002,2026-01-25,Sunday,True,2026-01-25 00:32,2026-01-25 08:07,15,3,89.3,7.58,0.54,8.12,4.32,False,False,7,Good
R000052,P0002,2026-01-26,Monday,False,2026-01-26 22:54,2026-01-27 06:12,4,2,89.3,7.3,22.9,6.2,2.55,True,False,5,Average
R000053,P0002,2026-01-27,Tuesday,False,2026-01-27 23:17,2026-01-28 07:27,8,1,85.8,8.17,23.29,7.45,3.37,True,False,7,Good
R000054,P0002,2026-01-28,Wednesday,False,2026-01-28 00:29,2026-01-28 09:16,10,1,90.6,8.78,0.48,9.27,4.87,False,False,7,Good
R000055,P0002,2026-01-29,Thursday,False,2026-01-29 23:18,2026-01-30 07:05,24,2,91.7,7.78,23.3,7.08,3.18,True,False,7,Good
R000056,P0002,2026-01-30,Friday,False,2026-01-30 00:10,2026-01-30 07:29,21,0,95.7,7.32,0.18,7.48,3.82,False,False,6,Average
R000057,P0002,2026-01-31,Saturday,True,2026-01-31 02:11,2026-01-31 10:23,27,4,85.1,8.2,2.18,10.38,6.28,False,False,5,Average
R000058,P0002,2026-02-01,Sunday,True,2026-02-01 23:28,2026-02-02 06:04,26,0,95.1,6.6,23.48,6.07,2.77,True,False,6,Average
R000059,P0002,2026-02-02,Monday,False,2026-02-02 00:14,2026-02-02 07:26,40,3,78.3,7.2,0.23,7.43,3.83,False,False,5,Average
R000060,P0002,2026-02-03,Tuesday,False,2026-02-03 23:24,2026-02-04 07:12,19,3,94.0,7.8,23.41,7.2,3.3,True,False,6,Average
R000061,P0003,2026-01-05,Monday,False,2026-01-05 22:54,2026-01-06 06:49,14,1,91.3,7.92,22.9,6.82,2.85,True,False,6,Average
R000062,P0003,2026-01-06,Tuesday,False,2026-01-06 22:37,2026-01-07 06:13,4,2,89.9,7.6,22.63,6.22,2.42,True,False,5,Average
R000063,P0003,2026-01-07,Wednesday,False,2026-01-07 22:17,2026-01-08 05:29,11,2,84.9,7.2,22.28,5.48,1.88,True,False,8,Good
R000064,P0003,2026-01-08,Thursday,False,2026-01-08 23:02,2026-01-09 07:37,14,1,84.7,8.58,23.03,7.62,3.32,True,False,6,Average
R000065,P0003,2026-01-09,Friday,False,2026-01-09 23:14,2026-01-10 07:55,0,1,93.4,8.68,23.23,7.92,3.57,True,False,8,Good
R000066,P0003,2026-01-10,Saturday,True,2026-01-10 23:56,2026-01-11 09:24,7,1,87.9,9.47,23.94,9.4,4.67,True,False,7,Good
R000067,P0003,2026-01-11,Sunday,True,2026-01-11 23:01,2026-01-12 07:09,2,0,92.8,8.13,23.03,7.15,3.08,True,False,7,Good
R000068,P0003,2026-01-12,Monday,False,2026-01-12 22:47,2026-01-13 06:26,25,1,93.6,7.65,22.79,6.43,2.6,True,False,7,Good
R000069,P0003,2026-01-13,Tuesday,False,2026-01-13 23:11,2026-01-14 06:50,17,1,98.0,7.65,23.2,6.83,3.0,True,False,8,Good
R000070,P0003,2026-01-14,Wednesday,False,2026-01-14 23:41,2026-01-15 06:25,22,2,92.9,6.73,23.69,6.42,3.05,True,False,3,Poor
R000071,P0003,2026-01-15,Thursday,False,2026-01-15 22:57,2026-01-16 06:16,12,0,98.3,7.32,22.95,6.27,2.6,True,False,5,Average
R000072,P0003,2026-01-16,Friday,False,2026-01-16 23:03,2026-01-17 07:12,6,0,94.7,8.15,23.05,7.2,3.12,True,False,5,Average
R000073,P0003,2026-01-17,Saturday,True,2026-01-17 23:36,2026-01-18 07:37,8,0,100.0,8.02,23.61,7.62,3.6,True,False,8,Good
R000074,P0003,2026-01-18,Sunday,True,2026-01-18 23:49,2026-01-19 08:20,16,1,92.6,8.52,23.83,8.33,4.07,True,False,6,Average
R000075,P0003,2026-01-19,Monday,False,2026-01-19 23:09,2026-01-20 07:34,15,2,90.3,8.42,23.17,7.57,3.35,True,False,7,Good
R000076,P0003,2026-01-20,Tuesday,False,2026-01-20 23:34,2026-01-21 06:53,15,1,96.3,7.32,23.58,6.88,3.22,True,False,8,Good
R000077,P0003,2026-01-21,Wednesday,False,2026-01-21 23:10,2026-01-22 06:53,15,3,86.2,7.72,23.18,6.88,3.02,True,False,8,Good
R000078,P0003,2026-01-22,Thursday,False,2026-01-22 02:04,2026-01-22 10:44,11,2,90.0,8.67,2.07,10.73,6.4,False,False,5,Average
R000079,P0003,2026-01-23,Friday,False,2026-01-23 23:58,2026-01-24 07:12,20,0,93.0,7.23,23.98,7.2,3.58,True,False,4,Average
R000080,P0003,2026-01-24,Saturday,True,2026-01-24 23:12,2026-01-25 07:56,13,2,90.2,8.73,23.21,7.93,3.57,True,False,6,Average
R000081,P0003,2026-01-25,Sunday,True,2026-01-25 23:52,2026-01-26 07:29,0,4,87.6,7.62,23.87,7.48,3.67,True,False,6,Average
R000082,P0003,2026-01-26,Monday,False,2026-01-26 23:50,2026-01-27 07:47,6,0,92.8,7.95,23.84,7.78,3.8,True,False,7,Good
R000083,P0003,2026-01-27,Tuesday,False,2026-01-27 23:58,2026-01-28 07:48,25,2,84.8,7.83,23.97,7.8,3.88,True,False,7,Good
R000084,P0003,2026-01-28,Wednesday,False,2026-01-28 22:43,2026-01-29 05:56,18,1,83.1,7.22,22.72,5.93,2.32,True,False,7,Good
R000085,P0003,2026-01-29,Thursday,False,2026-01-29 22:41,2026-01-30 06:37,2,3,83.0,7.93,22.7,6.62,2.65,True,False,7,Good
R000086,P0003,2026-01-30,Friday,False,2026-01-30 23:28,2026-01-31 07:31,28,2,85.7,8.05,23.48,7.52,3.48,True,False,6,Average
R000087,P0003,2026-01-31,Saturday,True,2026-01-31 00:48,2026-01-31 09:26,8,1,93.4,8.63,0.8,9.43,5.12,False,False,6,Average
R000088,P0003,2026-02-01,Sunday,True,2026-02-01 00:29,2026-02-01 08:31,18,1,91.1,8.03,0.5,8.52,4.5,False,False,7,Good
R000089,P0003,2026-02-02,Monday,False,2026-02-02 23:01,2026-02-03 06:07,9,1,87.3,7.1,23.03,6.12,2.57,True,False,7,Good
R000090,P0003,2026-02-03,Tuesday,False,2026-02-03 23:43,2026-02-04 07:32,15,1,97.2,7.82,23.72,7.53,3.62,True,False,7,Good
R000091,P0004,2026-01-05,Monday,False,2026-01-05 02:25,2026-01-05 10:22,16,3,92.8,7.95,2.42,10.37,6.38,False,False,7,Good
R000092,P0004,2026-01-06,Tuesday,False,2026-01-06 00:30,2026-01-06 07:59,14,0,98.7,7.48,0.5,7.98,4.23,False,False,7,Good
R000093,P0004,2026-01-07,Wednesday,False,2026-01-07 00:52,2026-01-07 09:00,22,1,94.8,8.13,0.88,9.0,4.93,False,False,8,Good
R000094,P0004,2026-01-08,Thursday,False,2026-01-08 00:05,2026-01-08 07:18,15,1,91.0,7.22,0.09,7.3,3.68,False,False,6,Average
R000095,P0004,2026-01-09,Friday,False,2026-01-09 22:54,2026-01-10 06:30,25,0,87.4,7.6,22.9,6.5,2.7,True,False,4,Average
R000096,P0004,2026-01-10,Saturday,True,2026-01-10 00:57,2026-01-10 09:04,32,3,87.5,8.12,0.95,9.07,5.0,False,False,6,Average
R000097,P0004,2026-01-11,Sunday,True,2026-01-11 00:24,2026-01-11 07:50,28,3,78.9,7.43,0.41,7.83,4.12,False,False,5,Average
R000098,P0004,2026-01-12,Monday,False,2026-01-12 23:55,2026-01-13 08:35,16,4,90.4,8.67,23.92,8.58,4.25,True,False,8,Good
R000099,P0004,2026-01-13,Tuesday,False,2026-01-13 00:00,2026-01-13 07:44,4,1,92.5,7.73,0.0,7.73,3.87,False,False,5,Average
R000100,P0004,2026-01-14,Wednesday,False,2026-01-14 00:25,2026-01-14 08:05,13,3,83.6,7.67,0.43,8.08,4.25,False,False,7,Good
R000101,P0004,2026-01-15,Thursday,False,2026-01-15 00:04,2026-01-15 07:46,30,1,95.2,7.7,0.08,7.77,3.92,False,False,6,Average
R000102,P0004,2026-01-16,Friday,False,2026-01-16 23:14,2026-01-17 07:28,15,0,94.5,8.23,23.24,7.47,3.35,True,False,9,Good
R000103,P0004,2026-01-17,Saturday,True,2026-01-17 01:28,2026-01-17 09:11,14,1,95.3,7.72,1.48,9.18,5.32,False,False,8,Good
R000104,P0004,2026-01-18,Sunday,True,2026-01-18 00:40,2026-01-18 08:47,16,1,94.9,8.12,0.68,8.78,4.72,False,False,7,Good
R000105,P0004,2026-01-19,Monday,False,2026-01-19 00:04,2026-01-19 07:51,19,0,92.3,7.78,0.07,7.85,3.95,False,False,7,Good
R000106,P0004,2026-01-20,Tuesday,False,2026-01-20 01:22,2026-01-20 08:48,1,2,90.0,7.43,1.38,8.8,5.08,False,False,7,Good
R000107,P0004,2026-01-21,Wednesday,False,2026-01-21 00:11,2026-01-21 08:32,10,3,89.3,8.35,0.2,8.53,4.35,False,False,8,Good
R000108,P0004,2026-01-22,Thursday,False,2026-01-22 23:11,2026-01-23 07:16,34,0,99.0,8.08,23.19,7.27,3.22,True,False,5,Average
R000109,P0004,2026-01-23,Friday,False,2026-01-23 00:39,2026-01-23 08:02,10,1,91.5,7.38,0.65,8.03,4.33,False,False,6,Average
R000110,P0004,2026-01-24,Saturday,True,2026-01-24 00:55,2026-01-24 08:24,20,1,85.9,7.48,0.93,8.4,4.65,False,False,6,Average
R000111,P0004,2026-01-25,Sunday,True,2026-01-25 00:12,2026-01-25 07:35,17,1,93.7,7.38,0.22,7.58,3.88,False,False,7,Good
R000112,P0004,2026-01-26,Monday,False,2026-01-26 23:03,2026-01-27 06:47,22,1,90.7,7.73,23.06,6.78,2.92,True,False,8,Good
R000113,P0004,2026-01-27,Tuesday,False,2026-01-27 01:06,2026-01-27 09:39,22,1,99.3,8.55,1.11,9.65,5.37,False,False,6,Average
R000114,P0004,2026-01-28,Wednesday,False,2026-01-28 01:12,2026-01-28 09:19,19,2,87.7,8.12,1.21,9.32,5.25,False,False,6,Average
R000115,P0004,2026-01-29,Thursday,False,2026-01-29 01:05,2026-01-29 08:48,4,1,95.0,7.72,1.09,8.8,4.93,False,False,7,Good
R000116,P0004,2026-01-30,Friday,False,2026-01-30 01:10,2026-01-30 08:12,21,2,84.7,7.03,1.17,8.2,4.68,False,False,6,Average
R000117,P0004,2026-01-31,Saturday,True,2026-01-31 01:12,2026-01-31 09:18,32,0,93.9,8.1,1.2,9.3,5.25,False,False,6,Average
R000118,P0004,2026-02-01,Sunday,True,2026-02-01 00:19,2026-02-01 07:45,16,1,93.8,7.43,0.32,7.75,4.03,False,False,6,Average
R000119,P0004,2026-02-02,Monday,False,2026-02-02 23:45,2026-02-03 07:38,13,0,90.5,7.88,23.76,7.63,3.68,True,False,6,Average
R000120,P0004,2026-02-03,Tuesday,False,2026-02-03 23:25,2026-02-04 06:40,17,2,88.0,7.25,23.43,6.67,3.03,True,False,7,Good
R000121,P0005,2026-01-05,Monday,False,2026-01-05 23:25,2026-01-06 06:02,16,3,80.9,6.62,23.43,6.03,2.72,True,False,7,Good
R000122,P0005,2026-01-06,Tuesday,False,2026-01-06 23:23,2026-01-07 06:27,20,4,87.8,7.07,23.4,6.45,2.92,True,False,5,Average
R000123,P0005,2026-01-07,Wednesday,False,2026-01-07 23:01,2026-01-08 06:14,4,2,87.7,7.22,23.03,6.23,2.62,True,False,7,Good
R000124,P0005,2026-01-08,Thursday,False,2026-01-08 23:23,2026-01-09 06:47,16,0,97.0,7.4,23.39,6.78,3.08,True,False,5,Average
R000125,P0005,2026-01-09,Friday,False,2026-01-09 00:23,2026-01-09 08:02,12,2,92.5,7.65,0.4,8.03,4.2,False,False,4,Average
R000126,P0005,2026-01-10,Saturday,True,2026-01-10 21:54,2026-01-11 05:37,21,1,95.0,7.72,21.91,5.62,1.75,True,False,4,Average
R000127,P0005,2026-01-11,Sunday,True,2026-01-11 01:03,2026-01-11 07:22,13,0,94.3,6.32,1.06,7.37,4.2,False,False,5,Average
R000128,P0005,2026-01-12,Monday,False,2026-01-12 23:06,2026-01-13 06:35,23,1,93.3,7.48,23.11,6.58,2.83,True,False,7,Good
R000129,P0005,2026-01-13,Tuesday,False,2026-01-13 23:26,2026-01-14 06:56,24,1,96.5,7.5,23.45,6.93,3.18,True,False,8,Good
R000130,P0005,2026-01-14,Wednesday,False,2026-01-14 23:40,2026-01-15 07:00,15,3,89.5,7.33,23.67,7.0,3.33,True,False,5,Average
R000131,P0005,2026-01-15,Thursday,False,2026-01-15 23:20,2026-01-16 06:35,17,1,90.5,7.25,23.34,6.58,2.95,True,False,5,Average
R000132,P0005,2026-01-16,Friday,False,2026-01-16 23:28,2026-01-17 07:16,17,0,89.9,7.8,23.47,7.27,3.37,True,False,6,Average
R000133,P0005,2026-01-17,Saturday,True,2026-01-17 00:16,2026-01-17 06:36,20,1,91.0,6.33,0.27,6.6,3.43,False,False,7,Good
R000134,P0005,2026-01-18,Sunday,True,2026-01-18 01:15,2026-01-18 08:45,25,1,90.6,7.5,1.26,8.75,5.0,False,False,7,Good
R000135,P0005,2026-01-19,Monday,False,2026-01-19 23:06,2026-01-20 06:31,22,1,97.5,7.42,23.1,6.52,2.8,True,False,8,Good
R000136,P0005,2026-01-20,Tuesday,False,2026-01-20 23:28,2026-01-21 06:09,19,2,91.6,6.68,23.48,6.15,2.8,True,False,6,Average
R000137,P0005,2026-01-21,Wednesday,False,2026-01-21 23:53,2026-01-22 06:31,28,1,93.7,6.63,23.89,6.52,3.2,True,False,4,Average
R000138,P0005,2026-01-22,Thursday,False,2026-01-22 23:03,2026-01-23 05:40,11,2,88.1,6.62,23.07,5.67,2.35,True,False,7,Good
R000139,P0005,2026-01-23,Friday,False,2026-01-23 23:12,2026-01-24 06:13,0,1,89.9,7.02,23.21,6.22,2.7,True,False,6,Average
R000140,P0005,2026-01-24,Saturday,True,2026-01-24 00:53,2026-01-24 08:21,11,1,88.5,7.47,0.89,8.35,4.62,False,False,6,Average
R000141,P0005,2026-01-25,Sunday,True,2026-01-25 00:17,2026-01-25 07:34,8,2,87.0,7.28,0.3,7.57,3.92,False,False,7,Good
R000142,P0005,2026-01-26,Monday,False,2026-01-26 00:00,2026-01-26 07:34,15,2,94.8,7.57,0.01,7.57,3.78,False,False,5,Average
R000143,P0005,2026-01-27,Tuesday,False,2026-01-27 23:32,2026-01-28 06:35,15,1,89.0,7.05,23.54,6.58,3.05,True,False,8,Good
R000144,P0005,2026-01-28,Wednesday,False,2026-01-28 23:51,2026-01-29 06:38,21,2,89.4,6.78,23.85,6.63,3.23,True,False,3,Poor
R000145,P0005,2026-01-29,Thursday,False,2026-01-29 23:32,2026-01-30 07:11,26,3,84.8,7.65,23.54,7.18,3.35,True,False,5,Average
R000146,P0005,2026-01-30,Friday,False,2026-01-30 23:34,2026-01-31 06:25,11,2,91.3,6.85,23.57,6.42,2.98,True,False,4,Average
R000147,P0005,2026-01-31,Saturday,True,2026-01-31 00:13,2026-01-31 06:50,26,3,93.1,6.62,0.23,6.83,3.52,False,False,5,Average
R000148,P0005,2026-02-01,Sunday,True,2026-02-01 00:24,2026-02-01 07:00,19,0,93.9,6.6,0.4,7.0,3.7,False,False,4,Average
R000149,P0005,2026-02-02,Monday,False,2026-02-02 22:57,2026-02-03 05:49,26,2,85.9,6.87,22.96,5.82,2.38,True,False,8,Good
R000150,P0005,2026-02-03,Tuesday,False,2026-02-03 22:39,2026-02-04 05:54,18,0,95.9,7.25,22.66,5.9,2.27,True,False,7,Good
R000151,P0006,2026-01-05,Monday,False,2026-01-05 23:25,2026-01-06 05:52,9,1,94.5,6.45,23.42,5.87,2.63,True,False,8,Good
R000152,P0006,2026-01-06,Tuesday,False,2026-01-06 00:35,2026-01-06 06:30,20,3,84.2,5.92,0.58,6.5,3.53,False,False,5,Average
R000153,P0006,2026-01-07,Wednesday,False,2026-01-07 22:15,2026-01-08 05:26,25,0,86.0,7.18,22.25,5.43,1.83,True,False,5,Average
R000154,P0006,2026-01-08,Thursday,False,2026-01-08 23:45,2026-01-09 05:26,0,1,85.8,5.68,23.76,5.43,2.58,True,False,5,Average
R000155,P0006,2026-01-09,Friday,False,2026-01-09 00:21,2026-01-09 07:18,18,1,95.4,6.95,0.37,7.3,3.82,False,False,7,Good
R000156,P0006,2026-01-10,Saturday,True,2026-01-10 00:21,2026-01-10 06:54,20,3,85.9,6.55,0.36,6.9,3.62,False,False,7,Good
R000157,P0006,2026-01-11,Sunday,True,2026-01-11 00:57,2026-01-11 08:30,12,1,90.9,7.55,0.95,8.5,4.72,False,False,6,Average
R000158,P0006,2026-01-12,Monday,False,2026-01-12 23:26,2026-01-13 06:11,8,1,92.4,6.75,23.44,6.18,2.8,True,False,7,Good
R000159,P0006,2026-01-13,Tuesday,False,2026-01-13 23:18,2026-01-14 06:17,10,1,91.2,6.98,23.31,6.28,2.78,True,False,7,Good
R000160,P0006,2026-01-14,Wednesday,False,2026-01-14 23:14,2026-01-15 05:52,13,2,88.9,6.63,23.24,5.87,2.55,True,False,6,Average
R000161,P0006,2026-01-15,Thursday,False,2026-01-15 23:30,2026-01-16 06:46,25,1,92.5,7.27,23.51,6.77,3.13,True,False,6,Average
R000162,P0006,2026-01-16,Friday,False,2026-01-16 23:21,2026-01-17 06:21,4,1,84.8,7.0,23.36,6.35,2.85,True,False,5,Average
R000163,P0006,2026-01-17,Saturday,True,2026-01-17 02:32,2026-01-17 09:02,6,0,87.8,6.5,2.54,9.03,5.78,False,False,7,Good
R000164,P0006,2026-01-18,Sunday,True,2026-01-18 23:22,2026-01-19 06:24,24,2,86.6,7.03,23.38,6.4,2.88,True,False,7,Good
R000165,P0006,2026-01-19,Monday,False,2026-01-19 23:47,2026-01-20 06:49,16,1,99.6,7.03,23.8,6.82,3.3,True,False,5,Average
R000166,P0006,2026-01-20,Tuesday,False,2026-01-20 23:07,2026-01-21 05:35,3,3,88.8,6.47,23.12,5.58,2.35,True,False,6,Average
R000167,P0006,2026-01-21,Wednesday,False,2026-01-21 23:19,2026-01-22 05:31,13,0,87.8,6.2,23.33,5.52,2.42,True,False,6,Average
R000168,P0006,2026-01-22,Thursday,False,2026-01-22 22:20,2026-01-23 05:15,19,2,87.4,6.92,22.34,5.25,1.78,True,False,6,Average
R000169,P0006,2026-01-23,Friday,False,2026-01-23 00:32,2026-01-23 07:43,12,1,89.9,7.18,0.54,7.72,4.12,False,False,6,Average
R000170,P0006,2026-01-24,Saturday,True,2026-01-24 00:54,2026-01-24 06:55,19,1,93.0,6.02,0.91,6.92,3.9,False,False,7,Good
R000171,P0006,2026-01-25,Sunday,True,2026-01-25 23:55,2026-01-26 06:56,7,3,81.6,7.02,23.93,6.93,3.42,True,False,5,Average
R000172,P0006,2026-01-26,Monday,False,2026-01-26 22:41,2026-01-27 04:58,15,1,85.7,6.28,22.69,4.97,1.82,True,False,4,Average
R000173,P0006,2026-01-27,Tuesday,False,2026-01-27 22:49,2026-01-28 05:22,13,2,95.8,6.55,22.83,5.37,2.08,True,False,7,Good
R000174,P0006,2026-01-28,Wednesday,False,2026-01-28 23:42,2026-01-29 06:32,10,1,88.7,6.83,23.71,6.53,3.12,True,False,6,Average
R000175,P0006,2026-01-29,Thursday,False,2026-01-29 22:51,2026-01-30 07:09,20,0,96.4,8.3,22.85,7.15,3.0,True,False,5,Average
R000176,P0006,2026-01-30,Friday,False,2026-01-30 00:02,2026-01-30 06:32,11,2,88.7,6.5,0.03,6.53,3.28,False,False,6,Average
