Env_ID,Location_ID,Date,Temperature_C,Humidity_Percent,Daylight_Hours,Season,Air_Quality_Index,Environmental_Noise_dB
EN000187,L0007,2026-01-11,10.5,73.6,10.12,Winter,95.2,60.6
EN000188,L0007,2026-01-12,9.7,62.6,10.13,Winter,70.2,56.5
EN000189,L0007,2026-01-13,8.5,80.3,10.15,Winter,95.0,63.7
EN000190,L0007,2026-01-14,8.7,73.1,10.16,Winter,79.0,60.2
EN000191,L0007,2026-01-15,12.6,71.8,10.18,Winter,80.4,61.2
EN000192,L0007,2026-01-16,10.9,57.3,10.2,Winter,71.2,55.2
EN000193,L0007,2026-01-17,8.0,78.1,10.21,Winter,94.2,64.8
EN000194,L0007,2026-01-18,10.8,76.1,10.23,Winter,70.2,59.0
EN000195,L0007,2026-01-19,8.3,70.4,10.25,Winter,70.8,51.5
EN000196,L0007,2026-01-20,10.2,67.5,10.27,Winter,95.2,62.5
EN000197,L0007,2026-01-21,10.4,69.5,10.29,Winter,70.6,57.0
EN000198,L0007,2026-01-22,8.4,67.1,10.31,Winter,59.6,51.7
EN000199,L0007,2026-01-23,11.3,70.3,10.33,Winter,45.0,57.4
EN000200,L0007,2026-01-24,12.2,74.4,10.35,Winter,84.4,58.2
EN000201,L0007,2026-01-25,8.9,61.5,10.37,Winter,74.8,59.9
EN000202,L0007,2026-01-26,12.7,74.6,10.39,Winter,68.1,51.8
EN000203,L0007,2026-01-27,9.8,69.3,10.41,Winter,67.2,55.1
EN000204,L0007,2026-01-28,10.9,65.0,10.44,Winter,61.2,59.6
EN000205,L0007,2026-01-29,9.7,69.5,10.46,Winter,73.8,52.3
EN000206,L0007,2026-01-30,9.6,76.6,10.48,Winter,53.7,47.4
EN000207,L0007,2026-01-31,7.2,68.2,10.51,Winter,70.4,57.4
EN000208,L0007,2026-02-01,12.7,52.0,10.53,Winter,75.5,65.8
EN000209,L0007,2026-02-02,8.6,65.7,10.55,Winter,59.5,53.5
EN000210,L0007,2026-02-03,10.0,76.6,10.58,Winter,95.7,56.3
EN000211,L0008,2026-01-05,28.5,75.2,11.92,Winter,109.6,57.5
EN000212,L0008,2026-01-06,25.3,77.2,11.93,Winter,129.5,62.3
EN000213,L0008,2026-01-07,23.8,80.8,11.93,Winter,79.9,55.6
EN000214,L0008,2026-01-08,26.7,75.2,11.93,Winter,88.9,58.1
EN000215,L0008,2026-01-09,25.6,77.5,11.93,Winter,57.9,61.3
EN000216,L0008,2026-01-10,23.2,66.3,11.93,Winter,84.2,58.4
EN000217,L0008,2026-01-11,23.8,80.0,11.93,Winter,66.2,56.0
EN000218,L0008,2026-01-12,24.0,74.7,11.93,Winter,88.9,53.0
EN000219,L0008,2026-01-13,26.3,75.4,11.93,Winter,58.5,48.2
EN000220,L0008,2026-01-14,25.0,73.7,11.93,Winter,83.6,57.9
EN000221,L0008,2026-01-15,25.4,80.7,11.93,Winter,69.4,52.1
EN000222,L0008,2026-01-16,23.0,76.7,11.93,Winter,102.4,55.8
EN000223,L0008,2026-01-17,20.5,64.8,11.93,Winter,73.3,55.2
EN000224,L0008,2026-01-18,24.3,75.2,11.93,Winter,80.6,63.2
EN000225,L0008,2026-01-19,23.8,69.8,11.93,Winter,91.7,50.3
EN000226,L0008,2026-01-20,25.7,75.6,11.93,Winter,82.9,65.9
EN000227,L0008,2026-01-21,23.9,87.4,11.93,Winter,81.8,51.6
EN000228,L0008,2026-01-22,25.1,68.5,11.93,Winter,74.5,60.0
EN000229,L0008,2026-01-23,26.0,71.3,11.94,Winter,98.8,63.8
EN000230,L0008,2026-01-24,27.6,78.2,11.94,Winter,104.1,48.6
EN000231,L0008,2026-01-25,24.4,69.8,11.94,Winter,86.7,55.1
EN000232,L0008,2026-01-26,24.7,86.3,11.94,Winter,82.6,60.1
EN000233,L0008,2026-01-27,24.6,75.5,11.94,Winter,85.1,60.2
EN000234,L0008,2026-01-28,27.1,84.9,11.94,Winter,89.3,60.9
EN000235,L0008,2026-01-29,23.0,74.5,11.94,Winter,98.2,62.3
EN000236,L0008,2026-01-30,25.4,80.3,11.94,Winter,91.9,64.0
EN000237,L0008,2026-01-31,25.6,72.9,11.94,Winter,89.7,43.3
EN000238,L0008,2026-02-01,25.8,53.1,11.94,Winter,60.9,60.3
EN000239,L0008,2026-02-02,25.9,68.0,11.94,Winter,75.0,64.9
EN000240,L0008,2026-02-03,24.2,88.5,11.95,Winter,85.0,60.0
EN000241,L0009,2026-01-05,28.0,75.8,11.22,Winter,71.0,57.5
EN000242,L0009,2026-01-06,25.0,66.8,11.22,Winter,81.4,54.3
EN000243,L0009,2026-01-07,26.7,75.2,11.23,Winter,81.0,57.5
EN000244,L0009,2026-01-08,25.4,78.7,11.23,Winter,71.0,52.8
EN000245,L0009,2026-01-09,27.0,72.5,11.24,Winter,65.2,60.2
EN000246,L0009,2026-01-10,25.9,65.8,11.24,Winter,88.2,61.7
EN000247,L0009,2026-01-11,25.7,78.8,11.25,Winter,65.3,59.7
EN000248,L0009,2026-01-12,24.5,72.1,11.25,Winter,97.2,65.4
EN000249,L0009,2026-01-13,28.2,82.9,11.26,Winter,83.5,59.8
EN000250,L0009,2026-01-14,26.4,75.7,11.26,Winter,86.8,62.1
EN000251,L0009,2026-01-15,24.9,70.6,11.27,Winter,79.2,61.2
EN000252,L0009,2026-01-16,25.0,77.0,11.28,Winter,94.4,56.1
EN000253,L0009,2026-01-17,26.4,77.3,11.28,Winter,67.7,65.2
EN000254,L0009,2026-01-18,24.1,65.1,11.29,Winter,70.4,52.9
EN000255,L0009,2026-01-19,25.1,73.4,11.3,Winter,80.3,61.1
EN000256,L0009,2026-01-20,25.6,76.9,11.31,Winter,90.7,61.1
EN000257,L0009,2026-01-21,21.2,72.8,11.31,Winter,54.5,58.2
EN000258,L0009,2026-01-22,25.0,81.3,11.32,Winter,101.6,59.0
EN000259,L0009,2026-01-23,24.1,77.9,11.33,Winter,77.6,58.0
EN000260,L0009,2026-01-24,26.8,71.7,11.34,Winter,96.3,61.4
EN000261,L0009,2026-01-25,23.3,80.8,11.35,Winter,94.8,58.5
EN000262,L0009,2026-01-26,23.6,69.8,11.35,Winter,77.5,60.7
EN000263,L0009,2026-01-27,23.3,77.6,11.36,Winter,67.6,57.0
EN000264,L0009,2026-01-28,25.2,89.7,11.37,Winter,65.7,65.4
EN000265,L0009,2026-01-29,25.3,77.5,11.38,Winter,86.7,60.2
EN000266,L0009,2026-01-30,24.8,83.7,11.39,Winter,78.6,63.7
EN000267,L0009,2026-01-31,23.9,74.6,11.4,Winter,70.0,60.3
EN000268,L0009,2026-02-01,27.7,74.5,11.41,Winter,82.2,52.4
EN000269,L0009,2026-02-02,24.7,65.4,11.42,Winter,72.2,59.1
EN000270,L0009,2026-02-03,27.5,91.9,11.43,Winter,76.8,65.2
EN000271,L0010,2026-01-05,29.4,74.1,12.35,Summer,97.1,58.3
EN000272,L0010,2026-01-06,29.2,72.6,12.34,Summer,71.4,50.3
EN000273,L0010,2026-01-07,30.2,73.3,12.34,Summer,82.7,58.0
EN000274,L0010,2026-01-08,30.4,76.1,12.34,Summer,81.8,64.1
EN000275,L0010,2026-01-09,31.8,78.0,12.34,Summer,104.6,64.2
EN000276,L0010,2026-01-10,31.0,78.7,12.34,Summer,99.4,60.6
EN000277,L0010,2026-01-11,27.0,79.2,12.33,Summer,72.0,54.0
EN000278,L0010,2026-01-12,31.3,80.0,12.33,Summer,111.8,56.6
EN000279,L0010,2026-01-13,26.9,73.6,12.33,Summer,92.4,58.4
EN000280,L0010,2026-01-14,31.0,72.8,12.33,Summer,95.9,53.1
EN000281,L0010,2026-01-15,29.8,75.0,12.32,Summer,80.5,56.8
EN000282,L0010,2026-01-16,28.7,73.4,12.32,Summer,115.8,57.5
EN000283,L0010,2026-01-17,28.6,62.4,12.32,Summer,78.5,56.7
EN000284,L0010,2026-01-18,27.8,83.3,12.31,Summer,88.7,64.4
EN000285,L0010,2026-01-19,29.1,75.2,12.31,Summer,89.8,58.0
EN000286,L0010,2026-01-20,32.1,61.1,12.31,Summer,63.0,55.3
EN000287,L0010,2026-01-21,29.0,79.1,12.3,Summer,97.6,56.1
EN000288,L0010,2026-01-22,30.8,81.2,12.3,Summer,93.6,62.8
EN000289,L0010,2026-01-23,29.5,71.6,12.3,Summer,100.8,58.6
EN000290,L0010,2026-01-24,29.0,83.8,12.29,Summer,56.7,50.9
EN000291,L0010,2026-01-25,26.8,72.8,12.29,Summer,87.4,50.5
EN000292,L0010,2026-01-26,27.2,69.8,12.29,Summer,125.4,67.0
EN000293,L0010,2026-01-27,28.2,72.8,12.28,Summer,74.9,48.5
EN000294,L0010,2026-01-28,28.7,69.0,12.28,Summer,89.8,50.0
EN000295,L0010,2026-01-29,27.6,75.9,12.27,Summer,96.1,60.1
EN000296,L0010,2026-01-30,26.6,80.1,12.27,Summer,79.8,61.2
EN000297,L0010,2026-01-31,28.9,66.7,12.27,Summer,86.6,59.8
EN000298,L0010,2026-02-01,30.0,74.2,12.26,Summer,112.4,63.0
EN000299,L0010,2026-02-02,28.4,79.5,12.26,Summer,118.1,67.8
EN000300,L0010,2026-02-03,26.7,69.4,12.25,Summer,111.8,52.7
EN000301,L0011,2026-01-05,22.7,72.1,11.17,Winter,90.9,57.5
EN000302,L0011,2026-01-06,23.9,71.0,11.17,Winter,75.0,53.6
EN000303,L0011,2026-01-07,29.1,76.8,11.18,Winter,97.4,55.6
EN000304,L0011,2026-01-08,24.7,70.7,11.18,Winter,47.9,51.1
EN000305,L0011,2026-01-09,21.8,61.5,11.19,Winter,68.3,64.6
EN000306,L0011,2026-01-10,24.9,82.7,11.19,Winter,90.8,61.9
EN000307,L0011,2026-01-11,23.4,78.1,11.2,Winter,95.2,55.1
EN000308,L0011,2026-01-12,26.0,78.4,11.21,Winter,77.3,52.4
EN000309,L0011,2026-01-13,22.9,75.5,11.21,Winter,89.6,54.0
EN000310,L0011,2026-01-14,25.1,78.4,11.22,Winter,93.7,65.8
EN000311,L0011,2026-01-15,27.3,69.0,11.22,Winter,108.6,55.3
EN000312,L0011,2026-01-16,26.9,75.4,11.23,Winter,79.2,49.0
EN000313,L0011,2026-01-17,24.7,65.6,11.24,Winter,98.5,65.6
EN000314,L0011,2026-01-18,23.6,76.8,11.25,Winter,74.8,54.9
EN000315,L0011,2026-01-19,26.4,74.8,11.25,Winter,109.4,55.6
EN000316,L0011,2026-01-20,26.8,75.6,11.26,Winter,96.1,55.8
EN000317,L0011,2026-01-21,24.9,74.3,11.27,Winter,73.3,61.3
EN000318,L0011,2026-01-22,26.2,78.6,11.28,Winter,106.5,65.2
EN000319,L0011,2026-01-23,24.3,77.2,11.29,Winter,76.3,58.1
EN000320,L0011,2026-01-24,23.9,84.7,11.3,Winter,90.1,56.9
EN000321,L0011,2026-01-25,27.2,62.0,11.3,Winter,56.8,62.0
EN000322,L0011,2026-01-26,25.1,76.5,11.31,Winter,66.4,57.9
EN000323,L0011,2026-01-27,28.6,79.9,11.32,Winter,87.4,55.8
EN000324,L0011,2026-01-28,24.3,62.2,11.33,Winter,88.6,62.2
EN000325,L0011,2026-01-29,22.2,71.0,11.34,Winter,68.8,53.2
EN000326,L0011,2026-01-30,25.1,62.5,11.35,Winter,93.6,61.8
EN000327,L0011,2026-01-31,24.6,60.1,11.36,Winter,71.1,64.2
EN000328,L0011,2026-02-01,20.1,72.9,11.37,Winter,68.5,62.0
EN000329,L0011,2026-02-02,23.9,77.4,11.38,Winter,92.9,67.2
EN000330,L0011,2026-02-03,24.7,77.3,11.39,Winter,64.2,64.0
EN000331,L0012,2026-01-05,12.1,31.6,10.49,Winter,89.7,50.2
EN000332,L0012,2026-01-06,13.8,40.8,10.5,Winter,94.1,50.1
EN000333,L0012,2026-01-07,13.2,39.5,10.51,Winter,63.7,52.6
EN000334,L0012,2026-01-08,14.9,36.6,10.52,Winter,95.8,67.3
EN000335,L0012,2026-01-09,14.2,38.9,10.53,Winter,128.0,56.9
EN000336,L0012,2026-01-10,11.9,37.6,10.54,Winter,96.1,55.4
EN000337,L0012,2026-01-11,11.4,48.9,10.55,Winter,94.6,54.3
EN000338,L0012,2026-01-12,14.9,34.3,10.56,Winter,86.5,60.8
EN000339,L0012,2026-01-13,10.9,37.1,10.57,Winter,116.8,60.3
EN000340,L0012,2026-01-14,12.6,32.0,10.58,Winter,84.3,56.7
EN000341,L0012,2026-01-15,12.5,40.5,10.59,Winter,65.7,62.3
EN000342,L0012,2026-01-16,12.5,37.3,10.61,Winter,74.2,64.6
EN000343,L0012,2026-01-17,15.5,40.8,10.62,Winter,68.8,62.1
EN000344,L0012,2026-01-18,13.9,25.4,10.63,Winter,89.7,59.8
