Person_ID,Age,Gender,Occupation,BMI,BMI_Category,Chronotype,Location_ID
P0157,71,Female,Software/IT Worker,19.2,Normal,Intermediate,
P0158,47,Female,Teacher,29.3,Overweight,Evening,
P0159,46,Male,Software/IT Worker,18.6,Normal,Morning,
P0160,58,Male,Software/IT Worker,28.3,Overweight,Intermediate,
P0161,18,Female,Software/IT Worker,30.5,Obese,Evening,
P0162,34,Female,Office Worker,16.5,Underweight,Intermediate,
P0163,23,Female,Student,24.4,Normal,Evening,
P0164,53,Male,Office Worker,31.3,Obese,Evening,
P0165,49,Male,Software/IT Worker,27.6,Overweight,Morning,
P0166,38,Female,Teacher,18.8,Normal,Evening,
P0167,32,Male,Office Worker,22.9,Normal,Morning,
P0168,40,Female,Driver,25.2,Overweight,Evening,
P0169,25,Male,Office Worker,22.3,Normal,Evening,
P0170,44,Female,Freelancer,22.3,Normal,Evening,
P0171,36,Female,Office Worker,19.3,Normal,Intermediate,
P0172,18,Male,Student,29.0,Overweight,Evening,
P0173,31,Male,Freelancer,35.7,Obese,Intermediate,
P0174,48,Female,Healthcare Worker,27.8,Overweight,Evening,
P0175,28,Female,Office Worker,19.5,Normal,Morning,
P0176,19,Female,Student,24.2,Normal,Intermediate,
P0177,44,Male,Office Worker,22.6,Normal,Intermediate,
P0178,28,Female,Freelancer,28.2,Overweight,Intermediate,
P0179,32,Male,Healthcare Worker,16.5,Underweight,Intermediate,
P0180,52,Male,Freelancer,28.7,Overweight,Intermediate,
P0181,60,Female,Researcher,28.6,Overweight,Evening,
P0182,46,Male,Researcher,23.2,Normal,Evening,
P0183,22,Male,Student,17.7,Underweight,Evening,
P0184,31,Female,Self-Employed,20.2,Normal,Intermediate,
P0185,37,Male,Software/IT Worker,27.1,Overweight,Evening,
P0186,29,Male,Self-Employed,27.0,Overweight,Intermediate,
P0187,20,Male,Retail Worker,16.5,Underweight,Intermediate,
P0188,42,Male,Manual Worker,32.4,Obese,Intermediate,
P0189,33,Female,Office Worker,22.2,Normal,Morning,
P0190,43,Other,Retail Worker,30.2,Obese,Evening,
P0191,48,Female,Office Worker,28.2,Overweight,Intermediate,
P0192,35,Female,Manual Worker,27.2,Overweight,Evening,
P0193,29,Male,Office Worker,23.2,Normal,Morning,
P0194,47,Female,Office Worker,25.2,Overweight,Intermediate,
P0195,35,Male,Software/IT Worker,26.9,Overweight,Morning,
P0196,37,Male,Teacher,16.5,Underweight,Evening,
P0197,52,Female,Night-Shift Worker,26.4,Overweight,Morning,
P0198,37,Male,Software/IT Worker,21.3,Normal,Morning,
P0199,27,Female,Driver,27.1,Overweight,Evening,
P0200,33,Other,Software/IT Worker,24.7,Normal,Evening,
P0201,20,Female,Retail Worker,19.9,Normal,Intermediate,
P0202,33,Other,Software/IT Worker,25.6,Overweight,Evening,
P0203,18,Female,Student,21.2,Normal,Intermediate,
P0204,38,Female,Freelancer,28.4,Overweight,Intermediate,
P0205,30,Male,Driver,17.8,Underweight,Evening,
P0206,42,Male,Driver,22.6,Normal,Intermediate,
P0207,37,Female,Software/IT Worker,26.1,Overweight,Intermediate,
P0208,44,Other,Self-Employed,20.1,Normal,Evening,
P0209,35,Male,Freelancer,22.7,Normal,Evening,
P0210,27,Male,Office Worker,23.8,Normal,Morning,
P0211,47,Male,Retail Worker,27.0,Overweight,Morning,
P0212,42,Male,Self-Employed,25.8,Overweight,Intermediate,
P0213,29,Male,Office Worker,20.4,Normal,Intermediate,
P0214,21,Male,Healthcare Worker,17.7,Underweight,Intermediate,
P0215,34,Female,Researcher,27.3,Overweight,Intermediate,
P0216,54,Female,Retail Worker,23.2,Normal,Morning,
P0217,29,Female,Freelancer,21.9,Normal,Intermediate,
P0218,30,Male,Freelancer,25.8,Overweight,Evening,
P0219,34,Female,Researcher,27.0,Overweight,Morning,
P0220,41,Male,Healthcare Worker,27.4,Overweight,Evening,
P0221,40,Other,Night-Shift Worker,22.6,Normal,Evening,
P0222,31,Male,Teacher,24.8,Normal,Intermediate,
P0223,42,Female,Retail Worker,24.2,Normal,Intermediate,
P0224,33,Female,Freelancer,24.4,Normal,Evening,
P0225,21,Male,Student,32.3,Obese,Intermediate,
P0226,30,Male,Office Worker,20.3,Normal,Intermediate,
P0227,26,Male,Manual Worker,23.9,Normal,Evening,
P0228,52,Male,Software/IT Worker,26.4,Overweight,Intermediate,
P0229,32,Male,Night-Shift Worker,25.9,Overweight,Evening,
P0230,18,Female,Student,21.0,Normal,Intermediate,
P0231,44,Male,Retail Worker,24.0,Normal,Intermediate,
P0232,50,Female,Researcher,20.5,Normal,Intermediate,
P0233,31,Male,Night-Shift Worker,23.4,Normal,Morning,
P0234,29,Male,Office Worker,29.4,Overweight,Intermediate,
P0235,33,Female,Healthcare Worker,21.5,Normal,Morning,
P0236,31,Male,Software/IT Worker,24.5,Normal,Morning,
P0237,39,Male,Software/IT Worker,25.0,Normal,Intermediate,
P0238,35,Male,Night-Shift Worker,29.2,Overweight,Intermediate,
P0239,34,Male,Teacher,32.7,Obese,Morning,
P0240,18,Male,Manual Worker,23.9,Normal,Intermediate,
P0241,40,Male,Night-Shift Worker,22.5,Normal,Evening,
P0242,29,Female,Teacher,20.9,Normal,Morning,
P0243,19,Female,Retail Worker,26.1,Overweight,Intermediate,
P0244,38,Female,Freelancer,23.5,Normal,Evening,
P0245,34,Male,Night-Shift Worker,21.1,Normal,Intermediate,
P0246,30,Female,Night-Shift Worker,20.1,Normal,Intermediate,
P0247,46,Other,Office Worker,31.2,Obese,Intermediate,
P0248,46,Male,Software/IT Worker,25.8,Overweight,Intermediate,
P0249,21,Other,Student,27.4,Overweight,Intermediate,
P0250,21,Male,Student,27.8,Overweight,Intermediate,
P0251,41,Male,Night-Shift Worker,16.5,Underweight,Evening,
P0252,34,Male,Teacher,26.0,Overweight,Morning,
P0253,33,Male,Healthcare Worker,32.9,Obese,Intermediate,
P0254,19,Male,Student,17.1,Underweight,Evening,
P0255,29,Male,Retail Worker,23.5,Normal,Intermediate,
P0256,47,Female,Self-Employed,27.8,Overweight,Evening,
P0257,31,Male,Teacher,21.5,Normal,Evening,
P0258,32,Female,Software/IT Worker,25.6,Overweight,Evening,
P0259,21,Male,Student,20.7,Normal,Evening,
P0260,46,Female,Self-Employed,23.4,Normal,Intermediate,
P0261,39,Female,Software/IT Worker,20.4,Normal,Evening,
P0262,35,Female,Teacher,20.9,Normal,Morning,
P0263,22,Male,Student,29.3,Overweight,Intermediate,
P0264,33,Male,Software/IT Worker,24.3,Normal,Morning,
P0265,18,Female,Freelancer,16.5,Underweight,Evening,
P0266,44,Female,Healthcare Worker,24.6,Normal,Morning,
P0267,28,Female,Software/IT Worker,33.5,Obese,Morning,
P0268,22,Female,Student,25.4,Overweight,Evening,
P0269,40,Female,Software/IT Worker,29.7,Overweight,Intermediate,
P0270,47,Male,Office Worker,19.0,Normal,Evening,
P0271,18,Male,Student,22.3,Normal,Morning,
P0272,44,Male,Healthcare Worker,21.7,Normal,Intermediate,
P0273,44,Female,Freelancer,21.5,Normal,Intermediate,
P0274,49,Female,Researcher,27.8,Overweight,Intermediate,
P0275,56,Male,Retail Worker,22.7,Normal,Morning,
P0276,47,Male,Retail Worker,24.3,Normal,Intermediate,
P0277,49,Male,Software/IT Worker,25.1,Overweight,Morning,
P0278,47,Female,Software/IT Worker,29.6,Overweight,Evening,
P0279,52,Male,Researcher,21.4,Normal,Intermediate,
P0280,36,Male,Teacher,21.1,Normal,Morning,
P0281,22,Female,Office Worker,24.2,Normal,Morning,
P0282,43,Female,Software/IT Worker,16.5,Underweight,Morning,
P0283,43,Male,Driver,16.5,Underweight,Intermediate,
P0284,24,Female,Student,21.7,Normal,Intermediate,
P0285,21,Female,Student,22.0,Normal,Morning,
P0286,30,Male,Office Worker,29.5,Overweight,Intermediate,
P0287,60,Female,Teacher,23.5,Normal,Morning,
P0288,53,Male,Office Worker,30.7,Obese,Morning,
P0289,29,Male,Teacher,29.2,Overweight,Intermediate,
P0290,29,Female,Healthcare Worker,31.9,Obese,Morning,
P0291,39,Male,Teacher,30.2,Obese,Morning,
P0292,38,Female,Teacher,33.0,Obese,Morning,
P0293,39,Male,Office Worker,24.2,Normal,Morning,
P0294,32,Male,Night-Shift Worker,32.6,Obese,Intermediate,
P0295,53,Male,Night-Shift Worker,23.4,Normal,Evening,
P0296,41,Female,Freelancer,26.3,Overweight,Morning,
P0297,46,Female,Software/IT Worker,22.3,Normal,Intermediate,
P0298,49,Male,Office Worker,18.2,Underweight,Morning,
P0299,20,Female,Freelancer,29.9,Overweight,Intermediate,
P0300,27,Male,Software/IT Worker,27.9,Overweight,Intermediate,
